Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,61.7400016784668,62.150001525878906,60.5,61.380001068115234,53.45846176147461,12429600
2021-01-05,61.11000061035156,61.709999084472656,60.470001220703125,61.54999923706055,53.60652160644531,11584600
2021-01-06,60.54999923706055,62.04999923706055,60.52000045776367,61.70000076293945,53.737159729003906,12426200
2021-01-07,61.34000015258789,62.630001068115234,61.0,62.36000061035156,54.31199645996094,10931900
2021-01-08,62.189998626708984,63.18000030517578,62.150001525878906,62.4900016784668,54.42521286010742,10010500
2021-01-11,63.400001525878906,65.25,63.2400016784668,64.97000122070312,56.585147857666016,18185700
2021-01-12,65.36000061035156,66.30000305175781,64.91000366210938,65.43000030517578,56.985782623291016,15757500
2021-01-13,65.5,65.95999908447266,64.63999938964844,64.7300033569336,56.376121520996094,10292400
2021-01-14,64.91000366210938,66.37000274658203,64.77999877929688,66.0199966430664,57.4996223449707,12479800
2021-01-15,66.0199966430664,66.86000061035156,65.54000091552734,66.54000091552734,57.9525260925293,11296500
2021-01-19,66.8499984741211,67.16000366210938,66.33000183105469,66.73999786376953,58.126705169677734,10847800
2021-01-20,66.56999969482422,66.81999969482422,66.0,66.25,57.699951171875,9609600
2021-01-21,65.6500015258789,66.19999694824219,63.97999954223633,64.18000030517578,55.8970947265625,14064300
2021-01-22,63.88999938964844,65.02999877929688,63.7599983215332,64.55999755859375,56.22806167602539,9071900
2021-01-25,64.63999938964844,65.13999938964844,63.959999084472656,64.83000183105469,56.463218688964844,9171000
2021-01-26,64.5,65.6500015258789,64.37999725341797,64.44000244140625,56.12355041503906,11284100
2021-01-27,63.88999938964844,63.88999938964844,61.900001525878906,62.02000045776367,54.01586151123047,13847700
2021-01-28,62.83000183105469,63.380001068115234,62.20000076293945,62.290000915527344,54.251014709472656,17514700
2021-01-29,62.29999923706055,62.79999923706055,61.029998779296875,61.43000030517578,53.502010345458984,16092000
2021-02-01,61.90999984741211,62.869998931884766,61.65999984741211,62.209999084472656,54.181339263916016,11240900
2021-02-02,63.0,64.63999938964844,62.88999938964844,62.939998626708984,54.817134857177734,16059700
2021-02-03,62.869998931884766,63.209999084472656,62.0099983215332,62.029998779296875,54.024574279785156,15115000
2021-02-04,62.0,62.88999938964844,61.2400016784668,61.560001373291016,53.615238189697266,15997000
2021-02-05,61.060001373291016,61.77000045776367,60.5099983215332,60.91999816894531,53.05782699584961,16249200
2021-02-08,61.349998474121094,61.369998931884766,59.66999816894531,60.22999954223633,52.456878662109375,18864300
2021-02-09,60.22999954223633,60.34000015258789,59.68000030517578,59.7599983215332,52.04753112792969,14226100
2021-02-10,60.099998474121094,60.529998779296875,59.61000061035156,60.0,52.25656509399414,13071000
2021-02-11,60.0,60.220001220703125,59.70000076293945,59.9900016784668,52.24785614013672,8256800
2021-02-12,59.86000061035156,60.279998779296875,59.650001525878906,59.9900016784668,52.24785614013672,9493600
2021-02-16,60.099998474121094,60.369998931884766,59.369998931884766,59.400001525878906,51.73399353027344,12386400
2021-02-17,59.4900016784668,60.93000030517578,59.41999816894531,60.59000015258789,52.770416259765625,11673500
2021-02-18,60.310001373291016,61.720001220703125,60.29999923706055,61.02000045776367,53.144927978515625,14076600
2021-02-19,61.13999938964844,61.5,60.52000045776367,60.599998474121094,52.77912902832031,16997100
2021-02-22,60.41999816894531,61.2400016784668,59.709999084472656,60.9900016784668,53.118797302246094,9916600
2021-02-23,61.20000076293945,61.380001068115234,60.029998779296875,60.720001220703125,52.883636474609375,13742000
2021-02-24,60.900001525878906,62.91999816894531,60.869998931884766,62.59000015258789,54.51231002807617,16517900
